source_id,ra,dec,parallax,pmra,pmdec,angular_distance,l,b,magnitude_difference,ruwe,phot_g_mean_mag,bp_rp
162535413750345856,60.95565251496324,26.18102272589271,6.7580388985999305,20.85324167624313,-30.27773536215791,5.8607940673828125,168.01522510650412,-19.40477920315374,0.033466339111328125,21.986295700073242,13.836936950683594,2.8742456436157227
162535413754166528,60.95530514085524,26.18072692841602,7.803456753630271,20.133753356948596,-27.91139721220285,1542.93212890625,168.01521006019553,-19.405208707250907,0.4484529495239258,1.159976840019226,14.251923561096191,
162541942104406784,60.95832249203248,26.34386176371138,6.971043539835605,14.435074693499002,-19.268191101134438,0.1804206818342209,167.89587087469494,-19.287134982294614,-0.025953292846679688,1.049942970275879,16.95875358581543,3.8137502670288086
162535345034688768,60.961923890717365,26.181260209185506,7.731205645169136,19.54779483999466,-30.0090567837804,0.09560786932706833,168.01929590739397,-19.40065758999374,-0.016412734985351562,2.134249687194824,13.161150932312012,2.5141639709472656
53092775104124288,61.164068360733516,21.971753795802993,8.147688319320931,3.8027093015585236,-15.247629108889438,0.1276942491531372,171.35632119670993,-22.234012306336663,-0.015547752380371094,5.566027641296387,13.68156623840332,2.646512985229492
53092775104745984,61.16608029036666,21.97256460124474,8.0560811797657,4.516928730824277,-15.437680288670702,0.1524793952703476,171.35709545824366,-22.23210837866765,-0.0022611618041992188,2.9626431465148926,13.848262786865234,2.677882194519043
53098994216894208,61.378704042160926,21.852887265676916,8.058593711405802,4.191663639567589,-14.205038309429968,0.12810203433036804,171.59811604857006,-22.173461682080937,-0.01888561248779297,1.3525997400283813,13.768498420715332,2.5206899642944336
163511608280866816,61.38401553466745,27.55374555974185,7.605549934536042,11.31260617248056,-25.222299095569223,0.0402759425342083,167.28480248166252,-18.15891083532332,-0.025992393493652344,1.249719262123108,14.682877540588379,3.2499570846557617
164265220422661760,61.67771540091377,29.03366009972496,6.087130776953057,10.982073187276573,-17.51332897358449,0.14057698845863342,166.39032771159123,-16.9221228285455,-0.011151313781738281,1.2123202085494995,15.400052070617676,3.489337921142578
162259814291151616,61.685217591642704,25.6716506056199,6.524406046782286,14.00625028522942,-18.759613971950877,0.23459558188915253,168.88888514273995,-19.30221887395515,-0.029722213745117188,1.0644888877868652,16.344825744628906,3.720703125
162260226605718784,61.71400968742802,25.69098551798936,5.63715675811391,14.600649079467264,-18.15909069632713,1014.8338012695312,168.89370550428768,-19.27018085505525,-0.2218160629272461,5.353907585144043,11.821642875671387,1.885178565979004
162260226608005120,61.714058717032785,25.691263964436374,6.29561073476072,12.20432318307362,-17.973249368714033,0.2194221168756485,168.89352904218745,-19.26995339708889,-0.0008039474487304688,1.5132594108581543,12.042654991149902,1.8789806365966797
162259951730099968,61.72360381517879,25.676833642851097,6.5789939079567334,14.135666864173773,-18.768529866231013,0.2506953775882721,168.9108001653389,-19.274006988870333,-0.024379730224609375,1.099043607711792,16.090087890625,3.6947708129882812
163926914439144320,62.032644687141584,28.124448766646186,4.356945140941857,-0.21419728879843358,-10.409737527040562,0.10429231077432632,167.291062745268,-17.349818667373953,-0.022487640380859375,1.201043725013733,15.906611442565918,3.3323936462402344
150073682105601408,63.169623638019274,24.637620221806507,6.72612318797205,14.227465076394363,-18.84413837838408,0.1127796471118927,170.6654011506569,-19.059004245902933,-0.025516510009765625,1.2203483581542969,14.562454223632812,3.0322933197021484
163246832135164544,63.309021635707715,28.31952237441958,7.843327147682954,8.285252558469717,-24.269475857074198,0.09539934992790222,167.97328591762144,-16.413497593675057,-0.012464523315429688,1.1407272815704346,12.518960952758789,2.65032958984375
163233981593016064,63.36346516346246,28.273409001914775,7.358662479904253,8.105296602076184,-23.975333639428687,0.2140968292951584,168.04259365491512,-16.41139737091062,-0.02252197265625,1.726052165031433,12.200956344604492,2.7439184188842773
163229544890946944,63.472058504924156,28.189682389077266,5.878547336324951,8.859936588371843,-22.64962797352537,0.38681715726852417,168.17470511878096,-16.40125517221511,-0.006786346435546875,1.112326741218567,20.363964080810547,3.7269973754882812
165563674934601856,63.48911799460237,29.305273422306286,8.3556575392793,9.144099122752122,-23.767535422875127,0.2757037878036499,167.35494921225094,-15.611397264637729,-0.05954933166503906,1.712499976158142,15.077044486999512,2.3850927352905273
163182888662060928,63.54955532567206,28.19806335942306,7.622175800967898,7.599000239161034,-23.840006115373292,0.2736198902130127,168.218039747496,-16.346421179029324,-0.007961273193359375,1.151738166809082,17.25695037841797,2.6782684326171875
163184366130809984,63.55389179678554,28.203309550696616,8.326130351269814,6.540278954972209,-27.792049912722085,0.3137161135673523,168.2168900142139,-16.340025018746832,0.010828971862792969,7.5262651443481445,9.994731903076172,1.7855148315429688
163184366130809472,63.55664309355288,28.21354898266823,7.575347285477452,8.382510217262286,-24.54031420008276,0.13447150588035583,168.2109922105046,-16.331154168696127,-0.03414344787597656,1.630246639251709,13.584574699401855,2.2684144973754883
164738521519622656,63.56085784984311,28.4660239724056,7.6986214017622965,9.34393244117191,-23.83940971484246,0.17362980544567108,168.02504749659988,-16.152585558359473,-0.02223968505859375,1.320207118988037,12.787397384643555,2.9806718826293945
163184091252903936,63.570892174362506,28.182605335400414,7.601729484808871,8.143596527814433,-24.206318186331117,0.12484768778085709,168.2432482616046,-16.343687584100145,-0.15386295318603516,1.2576512098312378,12.774683952331543,2.1390581130981445
163181342473839744,63.57341487256743,28.102576941308904,7.428337831485543,8.284508230609935,-23.607230342021914,0.1929701864719391,168.3047455245589,-16.39779872360762,-0.0066967010498046875,1.0698966979980469,15.663296699523926,3.222151756286621
