source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp
3016951849535169792,83.95176747979923,-6.381757016026994,1.1311078868723674,0.18408319354057312,-3.7467617911908953,-7.8323913215866945,18.639328002929688,3.3342971801757812
3016951849536684800,83.96234198992948,-6.378798743499851,2.587136392705361,0.032035939395427704,1.37174978319,0.312213505231815,15.479853630065918,2.2777538299560547
3016952090053339904,83.92885154762415,-6.375817328762747,4.096265340262179,0.6790585517883301,0.7694197103297868,1.6717099476873265,20.38559341430664,2.278188705444336
3016952090054853760,83.9307491338456,-6.372111505624462,2.626597576974209,0.05272004008293152,1.8364854462016509,0.3270167407861525,16.320497512817383,3.361598014831543
3016952090054853888,83.92096015970304,-6.379274174844335,2.70094540871298,0.03379863128066063,0.650228351335488,1.4617981473771702,13.633487701416016,2.184298515319824
3016952124414592000,83.92851625909279,-6.362406755031597,2.5784584036820237,0.02969195507466793,1.1231734453224074,0.4839416405196033,15.474373817443848,2.31850528717041
3016953120847162240,84.07700127723201,-6.344096249751327,2.602572556433904,0.023203521966934204,0.15184417093026342,0.4920141533571387,14.507372856140137,1.848984718322754
3016953253990752768,83.9827688204947,-6.376325202038623,2.659016877289637,0.2597949206829071,0.8927281826377182,0.5916856352582485,19.17140769958496,3.3992557525634766
3016953292645695872,83.99289019247264,-6.369909935275607,2.7957049689500892,0.1149534359574318,0.2755108295107235,0.027022619281960078,17.76740264892578,4.112945556640625
3016953327005434496,83.9623234234565,-6.375029657090734,0.9224530837437912,0.16064204275608063,-0.16972820367485997,5.054345051897342,18.42071533203125,3.314868927001953
3016953601883341312,83.94853999913245,-6.360031097210434,2.583427542396842,0.03884635865688324,0.6731658974543256,1.3145094235997656,15.854312896728516,2.257129669189453
3016953735026770816,83.9733971372401,-6.332082654762748,1.5264304472766268,0.12073346227407455,-9.8097822708536,4.169569620673294,18.125030517578125,3.0495777130126953
3016953769386828928,83.97837917846535,-6.325020509053416,2.8249592727744726,0.3036172688007355,1.0837149767662473,0.40067138365120253,19.24321937561035,3.2513599395751953
3016953803745929600,84.01755951340441,-6.345579224940563,2.6408123648933968,0.017042240127921104,1.9063326452906673,1.0913137884833721,10.38596248626709,0.4609088897705078
3016953911120986240,84.02517776442726,-6.327439837551047,8.055540798430616,0.017981156706809998,-1.5129109828373404,7.9085554371451146,9.82193660736084,0.7219104766845703
3016953945480766464,84.04349628322743,-6.333757763100601,2.5979974419045044,0.015228008851408958,1.193786176326973,0.6066680302668578,13.65770149230957,1.5289602279663086
3016954014200201088,84.04249415655995,-6.31524375263789,2.4643065128228354,0.0975457951426506,3.349076554552667,-1.3735945183064813,17.703123092651367,2.894519805908203
3016954044264421504,84.0463266137915,-6.303902285580134,2.3358547879096614,0.14644698798656464,0.674627303255362,0.7243904469912221,18.32782745361328,3.7859973907470703
3016954048559939328,84.03955542603721,-6.310097350145852,2.5999531103483977,0.023136623203754425,1.321753561877949,0.573796464044489,14.296534538269043,2.1411800384521484
3016954319142330368,84.02604594434752,-6.295156766224762,2.5071630036707377,0.2237834930419922,-4.97117009932766,-1.0950135127632468,19.01791763305664,3.0113277435302734
3016975209862633088,84.32894135545162,-6.2574994270887485,1.1320838107292202,0.081674724817276,4.429672145375578,1.4318260659508002,17.09309959411621,2.397702217102051
3016975214158802944,84.32945792925845,-6.246909068737483,0.6354512311788894,0.05191044509410858,-0.26506538947348585,7.306997111114196,15.76045036315918,1.8806028366088867
3016975454676977152,84.25695598331004,-6.279543514383635,1.9557102392023062,0.10372096300125122,3.4898904675351643,-1.3900110270812795,17.567523956298828,2.9771480560302734
3016975489036714752,84.2665320781345,-6.277930403045498,2.65107666811995,0.045826587826013565,1.6527685878501557,-0.9481215781862209,16.206708908081055,2.6478042602539062
3016975931417139328,84.3102963711699,-6.255777063014046,2.5428186311475525,0.15661033987998962,1.2132913196652793,0.3737331712084485,18.07498550415039,3.2642154693603516
3016975931418500224,84.31118746620639,-6.255589141701645,1.9614363171414289,0.25608155131340027,-1.3092680224829554,-5.359631837936123,19.021181106567383,3.062030792236328
3016975935713310080,84.30299637740893,-6.25003403894957,0.8480012421223041,0.06301793456077576,-0.639192616544768,3.0740538402486304,16.719364166259766,2.0995168685913086
3016976004433139328,84.28827167937172,-6.240902375732962,2.5667824714434624,0.2015068233013153,-9.968532839149987,-32.01254180787964,18.448566436767578,2.594137191772461
3016976068856724736,84.27311871715804,-6.251143818823628,1.5854889608887184,0.1992289274930954,11.843317874694486,-3.7754569756733534,18.56005096435547,2.9774913787841797
3016976279310693632,84.27906451386382,-6.22669685048652,0.5627079806252734,0.05649939179420471,7.936979846438949,-7.269609836424026,16.387859344482422,3.122939109802246
3016976279310694016,84.26892959139528,-6.222560944456237,1.0597479169571158,0.17247723042964935,3.924397806003847,-7.769630630480351,18.35638999938965,2.783203125
3016976481173991936,84.13616686776885,-6.322896285199108,2.612168362627079,0.23114599287509918,0.9478754100594561,0.19212300506312405,18.833919525146484,2.688997268676758
3016976485469132288,84.14089031874617,-6.324136585219028,2.465147502002612,0.06522849202156067,0.7951733479869769,0.35087332291402334,16.77666664123535,3.3181495666503906
3016976485469132800,84.13492885068909,-6.322168709010992,2.5637029663037127,0.01673831231892109,0.6780853791281473,0.7767517703606115,12.930109977722168,1.3900928497314453
3016976622908088064,84.09691603247425,-6.327089753041847,2.6473552766809836,0.04330774024128914,1.1146813751679487,0.629192819526281,16.080955505371094,2.617428779602051
