2MASS,GaiaDR2,Name,RAJ2000,DEJ2000,pmRA,pmDE,plx,r-astro,rv,r_rv,Cluster,Member,J17,L18-t1,L18-t6,Dist,SimbadName
2MASS J04144739+2803055,Gaia DR2 163177116226018944,XEST20-066,04 14 47.40,+28 03 05.4,10.157,-26.128,7.801,GaiaDR2,12.590,17,7,1,1,1,0,*,2MASS J04144739+2803055
2MASS J04144786+2648110,Gaia DR2 162758236656524416,CXTau,04 14 47.88,+26 48 11.2,9.025,-22.451,7.847,GaiaDR2,16.630,15,7,0,1,1,0,,2MASS J04144786+2648110
2MASS J04144797+2752346,Gaia DR2 163157325014927360,LkCa3A+B,04 14 47.98,+27 52 34.7,11.148,-27.327,8.070,VLBI,8.900,17,7,1,1,1,0,*,2MASS J04144797+2752346
2MASS J04144928+2812305,Gaia DR2 163183644576299264,FOTauA+B,04 14 49.30,+28 12 30.6,10.652,-21.171,6.403,GaiaDR2,15.830,17,0,0,1,1,0,,2MASS J04144928+2812305
2MASS J04145234+2805598,Gaia DR2 163179006011625088,XEST20-071A,04 14 52.34,+28 06 00.0,7.995,-22.161,7.425,GaiaDR2,17.660,17,7,1,1,1,0,*,Gaia DR2 163179006011625088
,Gaia DR2 163179006011625216,XEST20-071B,04 14 52.44,+28 05 59.5,8.961,-23.606,7.408,GaiaDR2,,,0,0,0,1,0,,Gaia DR2 163179006011625216
2MASS J04150515+2808462,Gaia DR2 163179521407696384,CIDA2,04 15 05.16,+28 08 46.3,8.461,-24.479,7.517,GaiaDR2,14.610,17,0,0,1,1,0,,2MASS J04150515+2808462
2MASS J04150651+2728136,Gaia DR2 162933226506362240,,04 15 06.52,+27 28 13.2,10.386,-26.671,7.512,GaiaDR2,,,7,1,0,0,1,*,2MASS J04150651+2728136
2MASS J04151471+2800096,Gaia DR2 163165738856771200,KPNO1,04 15 14.71,+28 00 09.7,8.549,-25.522,7.912,GaiaDR2,,,7,1,1,1,0,*,2MASS J04151471+2800096
2MASS J04152409+2910434,Gaia DR2 164800815725933312,,04 15 24.10,+29 10 43.3,10.737,-19.436,5.999,GaiaDR2,,,0,0,1,1,0,,2MASS J04152409+2910434
2MASS J04153452+2913469,,,04 15 34.53,+29 13 47.0,,,,,,,0,0,0,1,0,,2MASS J04153452+2913469
2MASS J04153566+2847417,Gaia DR2 164773327935288320,,04 15 35.68,+28 47 41.4,,,,,,,0,0,0,1,0,,2MASS J04153566+2847417
2MASS J04153916+2818586,Gaia DR2 164684340508950144,,04 15 39.17,+28 18 58.7,9.248,-24.384,7.635,GaiaDR2,15.670,17,7,1,1,1,0,*,2MASS J04153916+2818586
2MASS J04154131+2915078,Gaia DR2 164802984685384320,,04 15 41.33,+29 15 07.6,12.000,-18.021,6.397,GaiaDR2,,,6,1,0,1,0,*,2MASS J04154131+2915078
2MASS J04154269+2909558,Gaia DR2 164800235906367232,,04 15 42.71,+29 09 55.7,12.183,-16.600,6.417,GaiaDR2,,,6,1,0,1,0,*,2MASS J04154269+2909558
